sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,two_year_recid
Male,69,Other,0,1,0,0,0,-1.0,1.0,F,Aggravated Assault w/Firearm,0,0,1,1,0,0
Male,34,African-American,0,3,0,0,0,-1.0,1.0,F,Felony Battery w/Prior Convict,1,1,3,1,0,1
Male,24,African-American,0,4,0,1,4,-1.0,1.0,F,Possession of Cocaine,1,0,4,3,4,1
Male,23,African-American,0,8,1,0,1,,1.0,F,Possession of Cannabis,0,0,8,6,1,0
Male,43,Other,0,1,0,0,2,,76.0,F,arrest case no charge,0,0,1,1,2,0
Male,44,Other,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,1,0,0
Male,41,Caucasian,0,6,0,0,14,-1.0,1.0,F,Possession Burglary Tools,1,0,6,2,14,1
Male,43,Other,0,4,0,0,3,-1.0,1.0,F,arrest case no charge,0,0,4,3,3,0
Female,39,Caucasian,0,1,0,0,0,-1.0,1.0,M,Battery,0,0,1,1,0,0
Male,21,Caucasian,0,3,0,0,1,428.0,308.0,F,Insurance Fraud,1,1,3,5,1,1
Male,27,Caucasian,0,4,0,0,0,-1.0,1.0,F,"Poss 3,4 MDMA (Ecstasy)",0,0,4,4,0,0
Male,23,African-American,0,6,0,0,3,0.0,0.0,M,Battery,1,0,6,4,3,1
Female,37,Caucasian,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,1,0,0
Male,41,African-American,0,4,0,0,0,-1.0,1.0,F,"Poss3,4 Methylenedioxymethcath",0,0,4,2,0,0
Female,47,Caucasian,0,1,0,0,1,-20.0,490.0,F,arrest case no charge,1,0,1,1,1,1
Male,31,African-American,0,3,0,0,7,22.0,71.0,F,Felony Driving While Lic Suspd,1,0,3,2,7,1
Male,37,Hispanic,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,1,0,0
