sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,two_year_recid
1.0,56.0,0.0,0.0,0.0,0.0,0.0,31.0,-1.0,1.0,0.0,319.0,0.0,0.0,0.0,1.0,1.0,4.0
1.0,27.0,2.0,0.0,0.0,0.0,0.0,23.0,-22.0,22.0,1.0,183.0,0.0,0.0,0.0,1.0,1.0,3.0
1.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,2.0,0.0,389.0,0.0,0.0,0.0,1.0,2.0,1.0
0.0,44.0,0.0,0.0,6.0,0.0,0.0,33.0,-1.0,1.0,0.0,319.0,0.0,0.0,0.0,6.0,3.0,6.0
1.0,37.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,7.0,6.0,2.0
1.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,162.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,34.0,5.0,0.0,2.0,0.0,0.0,23.0,-1.0,1.0,1.0,45.0,0.0,0.0,0.0,2.0,2.0,3.0
0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,34.0,3.0,0.0,4.0,0.0,0.0,32.0,0.0,1.0,0.0,223.0,0.0,0.0,0.0,4.0,2.0,5.0
1.0,32.0,2.0,0.0,4.0,0.0,0.0,12.0,-232.0,232.0,0.0,437.0,0.0,0.0,0.0,4.0,4.0,2.0
1.0,30.0,2.0,0.0,2.0,0.0,0.0,31.0,-140.0,140.0,0.0,162.0,0.0,0.0,0.0,2.0,2.0,4.0
1.0,21.0,0.0,0.0,9.0,0.0,0.0,1.0,-1.0,1.0,0.0,66.0,0.0,0.0,0.0,9.0,10.0,1.0
1.0,29.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,189.0,0.0,0.0,0.0,7.0,7.0,0.0
1.0,22.0,0.0,0.0,6.0,0.0,0.0,12.0,-64.0,64.0,0.0,195.0,0.0,0.0,0.0,6.0,7.0,2.0
1.0,39.0,0.0,0.0,4.0,0.0,0.0,23.0,-39.0,40.0,1.0,45.0,1.0,0.0,0.0,4.0,2.0,3.0
0.0,40.0,2.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,140.0,0.0,0.0,0.0,2.0,1.0,0.0
1.0,26.0,5.0,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,1.0,45.0,0.0,0.0,0.0,4.0,2.0,0.0
1.0,23.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,3.0,4.0,0.0
1.0,46.0,2.0,0.0,2.0,0.0,0.0,12.0,266.0,1017.0,1.0,380.0,0.0,0.0,0.0,2.0,1.0,2.0
1.0,22.0,0.0,0.0,7.0,1.0,0.0,23.0,-1.0,1.0,0.0,437.0,0.0,0.0,0.0,7.0,7.0,3.0
1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,429.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,5.0,3.0,0.0
1.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,51.0,0.0,0.0,0.0,4.0,6.0,0.0
1.0,23.0,0.0,1.0,6.0,4.0,3.0,33.0,-1.0,1.0,0.0,142.0,1.0,0.0,1.0,6.0,6.0,6.0
1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,319.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,47.0,2.0,0.0,0.0,0.0,0.0,12.0,-1.0,100.0,1.0,140.0,0.0,0.0,0.0,1.0,1.0,2.0
1.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,4.0,6.0,0.0
1.0,24.0,2.0,1.0,4.0,4.0,0.0,23.0,-1.0,1.0,1.0,45.0,0.0,0.0,0.0,4.0,5.0,3.0
0.0,26.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,7.0,6.0,1.0
1.0,25.0,0.0,0.0,5.0,0.0,0.0,32.0,-1.0,1.0,0.0,22.0,0.0,0.0,0.0,5.0,7.0,5.0
1.0,45.0,2.0,0.0,0.0,0.0,0.0,12.0,-1.0,0.0,0.0,437.0,0.0,0.0,0.0,1.0,1.0,2.0
1.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,2.0,4.0,0.0
1.0,39.0,2.0,0.0,0.0,0.0,0.0,12.0,-26.0,26.0,1.0,45.0,0.0,0.0,0.0,1.0,1.0,2.0
1.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,4.0,3.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,21.0,5.0,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,4.0,6.0,0.0
0.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,234.0,0.0,0.0,0.0,2.0,2.0,0.0
1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,1.0,2.0,0.0
1.0,42.0,0.0,0.0,5.0,0.0,0.0,34.0,-1.0,1.0,1.0,140.0,0.0,0.0,0.0,5.0,3.0,7.0
0.0,22.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0,3.0,4.0,0.0
1.0,22.0,3.0,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,319.0,0.0,0.0,0.0,3.0,5.0,0.0
0.0,34.0,2.0,0.0,0.0,0.0,0.0,1.0,-21.0,21.0,1.0,45.0,0.0,0.0,0.0,1.0,2.0,1.0
1.0,26.0,0.0,0.0,1.0,0.0,0.0,23.0,-1.0,1.0,1.0,265.0,1.0,0.0,0.0,10.0,9.0,3.0
1.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,48.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,497.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,24.0,2.0,0.0,4.0,0.0,0.0,1.0,-1.0,280.0,0.0,437.0,0.0,0.0,0.0,4.0,6.0,1.0
0.0,52.0,2.0,0.0,0.0,0.0,0.0,1.0,-8.0,8.0,0.0,51.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,429.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,1.0,2.0,1.0
1.0,31.0,0.0,3.0,6.0,0.0,0.0,33.0,-1.0,1.0,0.0,172.0,0.0,0.0,0.0,6.0,6.0,6.0
1.0,23.0,0.0,0.0,7.0,0.0,0.0,1.0,-1.0,1.0,0.0,437.0,0.0,0.0,0.0,7.0,7.0,1.0
1.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,211.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,52.0,2.0,0.0,7.0,0.0,0.0,33.0,0.0,1832.0,1.0,387.0,0.0,0.0,0.0,7.0,2.0,6.0
0.0,37.0,3.0,0.0,3.0,0.0,0.0,0.0,-3.0,3.0,1.0,45.0,0.0,0.0,0.0,3.0,3.0,0.0
1.0,54.0,0.0,0.0,2.0,0.0,0.0,12.0,-1.0,1173.0,1.0,348.0,0.0,0.0,0.0,2.0,3.0,2.0
1.0,27.0,0.0,0.0,4.0,1.0,0.0,1.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,4.0,3.0,1.0
1.0,29.0,2.0,0.0,3.0,0.0,0.0,1.0,-2.0,2.0,0.0,319.0,0.0,0.0,0.0,3.0,4.0,1.0
1.0,31.0,3.0,0.0,5.0,0.0,0.0,0.0,-3.0,3.0,1.0,249.0,0.0,0.0,0.0,5.0,2.0,0.0
1.0,26.0,2.0,0.0,4.0,0.0,0.0,1.0,-1.0,1.0,1.0,244.0,0.0,0.0,0.0,4.0,3.0,1.0
1.0,26.0,0.0,0.0,1.0,0.0,0.0,23.0,-1.0,1.0,1.0,265.0,1.0,0.0,0.0,10.0,9.0,3.0
0.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,50.0,2.0,0.0,2.0,0.0,0.0,1.0,693.0,137.0,0.0,437.0,0.0,0.0,0.0,2.0,4.0,1.0
1.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,195.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,27.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,1123.0,1.0,145.0,0.0,0.0,0.0,1.0,2.0,1.0
1.0,27.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,285.0,0.0,0.0,0.0,3.0,3.0,1.0
1.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,189.0,0.0,0.0,0.0,10.0,8.0,0.0
1.0,33.0,2.0,0.0,2.0,0.0,0.0,12.0,-23.0,23.0,1.0,106.0,0.0,0.0,0.0,2.0,2.0,2.0
1.0,30.0,2.0,0.0,3.0,1.0,1.0,23.0,-1.0,1.0,0.0,385.0,0.0,0.0,0.0,3.0,3.0,3.0
1.0,35.0,0.0,0.0,5.0,0.0,0.0,31.0,-1.0,722.0,1.0,265.0,0.0,0.0,0.0,5.0,2.0,4.0
0.0,24.0,2.0,0.0,4.0,0.0,0.0,12.0,-96.0,96.0,0.0,437.0,0.0,0.0,0.0,4.0,3.0,2.0
1.0,25.0,2.0,0.0,4.0,1.0,0.0,33.0,-16.0,16.0,0.0,437.0,0.0,0.0,0.0,4.0,3.0,6.0
1.0,36.0,2.0,0.0,7.0,0.0,0.0,36.0,-42.0,42.0,0.0,142.0,0.0,0.0,0.0,7.0,3.0,9.0
1.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,1.0,0.0,318.0,0.0,0.0,0.0,6.0,1.0,0.0
1.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,437.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,25.0,2.0,0.0,5.0,0.0,0.0,0.0,-1.0,2.0,0.0,319.0,0.0,0.0,0.0,5.0,3.0,0.0
0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,4.0,0.0,142.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,31.0,0.0,0.0,5.0,0.0,1.0,7.0,-1.0,1.0,0.0,37.0,1.0,0.0,0.0,5.0,7.0,15.0
1.0,36.0,0.0,0.0,5.0,0.0,3.0,34.0,-32.0,32.0,1.0,437.0,0.0,0.0,0.0,5.0,5.0,7.0
0.0,27.0,0.0,0.0,6.0,0.0,0.0,12.0,-40.0,40.0,0.0,19.0,0.0,0.0,0.0,6.0,4.0,2.0
1.0,28.0,2.0,0.0,4.0,0.0,1.0,12.0,-1.0,1.0,1.0,147.0,0.0,0.0,0.0,4.0,3.0,2.0
